,Brands,Models,Prices,Storage(GB),RAM,RAM Type,Size,Processor,Operating System,Warranty,Ratings
140,acer,acer Predator Helios 300 ,97990.0,1000,16,DDR4,15.6,Intel Octa Core i7 Processor (10th Gen),64 bit Windows 10 ,1.0,3.7
141,ASUS,ASUS ,65990.0,512,8,DDR4,15.6,Intel Core i5 Processor (10th Gen),Windows 10 ,2.0,4.5
142,APPLE,APPLE 2020 Macbook Air ,86990.0,256,8,DDR4,13.3,Apple M1 Processor,Mac OS ,1.0,4.7
143,Lenovo,Lenovo IdeaPad ,45990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,2.0,4.6
144,DELL,DELL Inspiron ,41890.0,256,8,DDR4,14.96,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.5
145,MSI,MSI GF65 Thin ,79990.0,512,16,DDR4,15.6,Intel Hexa Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,3.7
146,APPLE,APPLE 2021 Macbook Pro ,305990.0,1000,32,Unified,16.2,Apple M1 Max Processor,Mac OS ,1.0,4.7
147,Lenovo,Lenovo IdeaPad 3 ,39490.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2.0,4.7
148,HP,HP ,32990.0,256,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.3
149,acer,acer Aspire 5 ,50990.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.2
150,HP,HP ,39990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.6
151,Lenovo,Lenovo IdeaPad 3 ,33490.0,256,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,1.0,4.3
152,DELL,DELL Vostro ,41390.0,512,8,DDR4,14.0,Intel Core i3 Processor (10th Gen),64 bit Windows 10 ,1.0,4.4
153,MSI,MSI Modern 14 ,41490.0,512,8,DDR4,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
154,ASUS,ASUS Vivobook 15 ,36990.0,512,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.3
155,Lenovo,Lenovo Legion 5 ,133999.0,512,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.4
156,DELL,DELL Vostro ,39990.0,256,8,DDR4,14.0,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,3.8
157,DELL,DELL ,69490.0,512,8,DDR4,15.6,Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1.0,4.2
158,RedmiBook,RedmiBook 15 ,34999.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),Windows 10 ,1.0,4.5
159,Lenovo,Lenovo IdeaPad ,45990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.2
160,Avita,Avita SATUS ULTIMUS S111 ,21490.0,128,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,1.0,4.6
161,HP,HP Pavilion ,52499.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.1
162,DELL,DELL Inspiron ,39690.0,1000,8,DDR4,14.96,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 ,1.0,4.4
163,DELL,DELL Inspiron ,62990.0,512,16,DDR4,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,3.4
164,MSI,MSI Delta 15 AMD Advantage Edition ,114990.0,1000,16,DDR4,15.6,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 ,1.0,4.4
165,APPLE,APPLE 2022 MacBook Pro ,129900.0,256,8,Unified,13.3,Apple M2 Processor,Mac OS ,1.0,4.7
166,ASUS,ASUS ROG Flow X13 ,113990.0,1000,32,LPDDR4X,13.4,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 ,1.0,4.8
167,Lenovo,Lenovo IdeaPad 3 ,36990.0,256,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,4.2
168,ASUS,ASUS ,46500.0,512,8,DDR4,15.6,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,4.4
169,ASUS,ASUS Zenbook 14 ScreenPad Touch Panel ,74990.0,512,8,LPDDR4X,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.7
170,ASUS,ASUS VivoBook Ultra ,50990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.4
171,Avita,Avita SATUS ULTIMUS S111 ,21490.0,128,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,2.0,4.3
172,HP,HP ,56990.0,512,8,DDR4,15.6,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.3
173,ASUS,ASUS ROG Strix G15 (2022) ,103990.0,1000,16,DDR5,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.5
174,HP,HP Pavilion ,73190.0,512,16,DDR4,15.6,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.1
175,Lenovo,Lenovo IdeaPad 3 ,39490.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2.0,4.8
176,ASUS,ASUS Vivobook 15 ,42990.0,512,16,DDR4,15.6,AMD Ryzen 7 Quad Core Processor,64 bit Windows 11 ,1.0,4.8
177,DELL,DELL Vostro ,41490.0,512,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,1.0,4.3
178,HP,HP HP Envy Intel EVO ,91490.0,1000,16,DDR4,13.3,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.3
179,Lenovo,Lenovo IdeaPad 3 ,33490.0,256,8,DDR4,15.6,Intel Core i3 Processor (10th Gen),Windows 11 ,1.0,4.2
180,DELL,DELL Vostro ,41590.0,256,8,DDR4,14.0,AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 ,1.0,4.3
181,HP,HP 15s ,33990.0,1000,8,DDR4,15.6,AMD Ryzen 3 Dual Core Processor,64 bit Windows 10 ,1.0,4.5
182,DELL,DELL Inspiron ,61890.0,512,8,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.1
183,Lenovo,Lenovo Legion 5 ,133999.0,512,16,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.2
184,ASUS,ASUS Vivobook 15 ,58390.0,512,8,DDR4,15.6,Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1.0,4.6
185,HP,HP ,42990.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,4.1
186,Lenovo,Lenovo Ideapad Gaming 3 ,72990.0,512,16,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.2
187,Lenovo,Lenovo IdeaPad ,45990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.4
188,Infinix,Infinix INBook X1 ,39990.0,512,8,LPDDR4X,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1.0,4.1
189,Infinix,Infinix X1 Slim Series ,44990.0,512,16,LPDDR4X,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 11 ,1.0,4.3
190,Lenovo,Lenovo IdeaPad Gaming 3i ,88990.0,512,8,DDR4,15.6,Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1.0,4.4
191,DELL,DELL Inspiron ,62990.0,512,16,DDR4,14.0,Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,1.0,4.2
192,Nokia,Nokia PureBook X14 ,47990.0,512,8,DDR4,14.0,Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1.0,4.3
193,ASUS,ASUS Vivobook 15 ,39980.0,512,8,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 10 ,1.0,4.4
194,acer,acer Extensa 15 ,29790.0,256,4,DDR4,15.6,Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1.0,3.9
195,Avita,Avita SATUS ULTIMUS S111 ,21490.0,128,4,DDR4,14.1,Intel Celeron Dual Core Processor,64 bit Windows 11 ,2.0,4.2
196,MSI,MSI Modern 14 ,43990.0,512,8,DDR4,14.0,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1.0,4.1
197,ASUS,ASUS ROG Strix G15 ,78990.0,512,8,DDR4,15.6,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 ,1.0,4.5
198,ASUS,ASUS ,98990.0,512,16,DDR4,16.6,AMD Ryzen 9 Octa Core Processor,Windows 11 ,1.0,4.6
