,Brands,Models,Prices,ROM,RAM,Size,Processor,Operating System,Warranty,Ratings
70,HP,HP ,"₹50,999",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,3.7
71,Lenovo,Lenovo IdeaPad ,"₹45,990",512 GB SSD,8 GB DDR4,(14 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 ,1 Year Warranty,4.2
72,APPLE,APPLE 2020 Macbook Air ,"₹1,05,990",512 GB SSD,8 GB DDR4,(13.3 inch),Apple M1 Processor,Mac OS ,2 Year On-Site Warranty,4.6
73,MSI,MSI Katana GF66 ,"₹69,990",512 GB SSD,16 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 10 ,2 Years Warranty,4.3
74,Lenovo,Lenovo IdeaPad 3 ,"₹33,490",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (10th Gen),Windows 11 ,1 Year Onsite Warranty,4.3
75,Avita,Avita SATUS ULTIMUS S111 ,"₹21,490",128 GB SSD,4 GB DDR4,(14.1 Inch),Intel Celeron Dual Core Processor,64 bit Windows 11 ,1 Year Onsite Warranty,3.7
76,HP,HP ,"₹41,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
77,HP,HP ,"₹47,990",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 ,1 Year International Travelers Warranty,4.7
78,acer,acer Aspire 3 ,"₹39,690",512 GB SSD,8 GB DDR4,(15.6 inch),AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 ,1 Year International Travelers Warranty,4.5
79,acer,acer Aspire Vero(Green PC ) ,"₹58,390",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.3
80,DELL,DELL Inspiron ,"₹54,790",256 GB SSD,8 GB DDR4,(14 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.1
